user,other,direction,duration,timestamp,antenna_id,cost
7610039694,7434677419,Incoming,211,Wed Sep 15 19:17:44 +0100 2010,2,33
7641036117,1666472054,Outgoing,31,Mon Feb 11 07:18:23 +0000 1980,10,12
7641036117,7371326239,Incoming,45,Mon Feb 11 07:45:42 +0000 1980,2,1
7641036117,7681546436,Outgoing,10,Mon Feb 11 08:04:42 +0000 1980,3,86
7641036117,7681546436,Outgoing,0,Mon Feb 11 08:05:31 +0000 1980,4,8
7641036117,7681546436,Incoming,0,Mon Feb 11 08:06:18 +0000 1980,5,78
7641036117,7981267897,Outgoing,0,Mon Feb 11 08:06:31 +0000 1980,6,83
7641036117,7588304495,Incoming,124,Thu Sep 09 19:35:37 +0100 2010,7,2
7981267897,7784425582,Outgoing,474,Thu Sep 09 18:43:44 +0100 2010,5,22
7981267897,7743039441,Missed,0,Thu Sep 09 19:51:30 +0100 2010,3,30
7981267897,7784425582,Outgoing,0,Thu Sep 09 20:57:55 +0100 2010,1,50
7981267897,7784425582,Outgoing,605,Fri Sep 10 20:17:00 +0100 2010,1,39
7981267897,7784425582,Outgoing,1,Sat Sep 11 16:44:56 +0100 2010,1,55
7981267897,7743039441,Outgoing,59,Sat Sep 11 17:00:59 +0100 2010,2,7
7981267897,7784425582,Outgoing,1201,Mon Sep 13 14:53:26 +0100 2010,3,21
7981267897,7641036117,Outgoing,2,Tue Sep 14 07:19:17 +0100 2010,1,24
7163185791,1850897526,Outgoing,0,Thu Sep 09 21:05:12 +0100 2010,10,58
7163185791,7066875066,Outgoing,0,Fri Sep 10 18:14:22 +0100 2010,2,17
7163185791,7066875066,Outgoing,0,Fri Sep 10 18:14:46 +0100 2010,2,34
7163185791,7691640598,Outgoing,0,Fri Sep 10 18:16:16 +0100 2010,2,56
7163185791,7691640598,Outgoing,0,Fri Sep 10 18:17:32 +0100 2010,2,93
7163185791,8704500768,Missed,0,Tue Sep 14 13:18:18 +0100 2010,2,92
7163185791,7187432175,Outgoing,39,Tue Sep 14 15:23:43 +0100 2010,2,70
7163185791,7187432175,Outgoing,3,Tue Sep 14 15:27:12 +0100 2010,2,42
7163185791,7230262224,Incoming,47,Tue Sep 14 15:28:16 +0100 2010,2,22
7163185791,7187432175,Outgoing,8,Tue Sep 14 15:55:01 +0100 2010,2,54
7163185791,8704500768,Missed,0,Wed Sep 15 11:52:36 +0100 2010,2,37
7163185791,8704500768,Missed,0,Wed Sep 15 12:34:27 +0100 2010,2,88
7163185791,7187432175,Outgoing,8,Wed Sep 15 15:54:26 +0100 2010,2,12
7110730864,7209670163,Outgoing,0,Thu Sep 09 18:16:47 +0100 2010,1,77
7110730864,7209670163,Missed,0,Thu Sep 09 18:37:05 +0100 2010,2,22
7110730864,7209670163,Missed,0,Thu Sep 09 19:03:05 +0100 2010,2,8
7110730864,4.88E+31,Outgoing,0,Thu Sep 09 20:02:16 +0100 2010,2,67
7110730864,7209670163,Missed,0,Thu Sep 09 20:57:51 +0100 2010,3,53
7110730864,4.88E+31,Outgoing,0,Thu Sep 09 22:07:39 +0100 2010,3,82
7110730864,4.88E+31,Outgoing,0,Thu Sep 09 22:08:08 +0100 2010,3,73
7110730864,7209670163,Outgoing,215,Thu Sep 09 22:12:01 +0100 2010,2,84
7110730864,452,Outgoing,41,Thu Sep 09 22:38:09 +0100 2010,2,50
7110730864,563,Outgoing,0,Thu Sep 09 23:02:56 +0100 2010,2,24
7110730864,7501874156,Outgoing,0,Thu Sep 09 23:18:13 +0100 2010,2,5
7110730864,7784425582,Outgoing,0,Thu Sep 09 23:21:05 +0100 2010,2,86
7110730864,452,Outgoing,4,Thu Sep 09 23:28:24 +0100 2010,2,62
7110730864,452,Outgoing,52,Fri Sep 10 06:01:27 +0100 2010,1,2
7110730864,7209670163,Outgoing,0,Fri Sep 10 06:04:43 +0100 2010,2,18
7110730864,452,Outgoing,39,Fri Sep 10 07:45:52 +0100 2010,4,46
7110730864,7681546436,Missed,0,Fri Sep 10 07:53:09 +0100 2010,2,9
7110730864,7681546436,Outgoing,0,Fri Sep 10 07:54:02 +0100 2010,1,86
7110730864,7914559382,Outgoing,0,Fri Sep 10 11:15:49 +0100 2010,10,83
7110730864,1258345846,Missed,0,Fri Sep 10 19:35:57 +0100 2010,1,58
7784425582,7304637408,Outgoing,0,Thu Sep 09 18:30:10 +0100 2010,10,24
7784425582,7981267897,Incoming,474,Thu Sep 09 18:44:34 +0100 2010,23,46
7784425582,7110730864,Missed,0,Thu Sep 09 23:19:11 +0100 2010,8,72
7784425582,7981267897,Incoming,606,Fri Sep 10 20:17:56 +0100 2010,25,63
7784425582,7981267897,Outgoing,0,Sat Sep 11 15:47:47 +0100 2010,6,1
7784425582,7110730864,Outgoing,0,Sat Sep 11 15:48:00 +0100 2010,24,2
7784425582,7087748678,Outgoing,65,Sat Sep 11 16:42:43 +0100 2010,3,27
7784425582,7981267897,Incoming,0,Sat Sep 11 16:46:05 +0100 2010,13,66
7784425582,7211022593,Incoming,13,Mon Sep 13 14:01:59 +0100 2010,3,77
7784425582,7087748678,Incoming,21,Mon Sep 13 14:08:43 +0100 2010,4,25
7784425582,7981267897,Incoming,1200,Mon Sep 13 14:54:19 +0100 2010,23,2
7784425582,7087748678,Outgoing,2,Tue Sep 14 15:47:48 +0100 2010,26,54
7784425582,1256721926,Outgoing,89,Tue Sep 14 15:49:58 +0100 2010,11,14
7784425582,7981267897,Incoming,661,Wed Sep 15 18:24:22 +0100 2010,12,12
7784425582,7087748678,Missed,0,Thu Sep 16 14:50:10 +0100 2010,9,29
7784425582,7087748678,Outgoing,71,Thu Sep 16 14:57:13 +0100 2010,8,80
7607124303,7651268820,Missed,0,Thu Sep 09 18:30:15 +0100 2010,20,52
7607124303,2327,Outgoing,70,Fri Sep 10 15:00:35 +0100 2010,21,37
7607124303,2327,Outgoing,45,Fri Sep 10 15:04:57 +0100 2010,5,72
7607124303,2327,Outgoing,60,Fri Sep 10 15:06:01 +0100 2010,5,83
7607124303,2327,Outgoing,176,Fri Sep 10 16:57:09 +0100 2010,4,25
7607124303,2327,Outgoing,8,Fri Sep 10 20:23:01 +0100 2010,16,39
7607124303,7029691700,Outgoing,23,Sat Sep 11 11:37:15 +0100 2010,13,84
7607124303,7839321359,Outgoing,12,Sat Sep 11 13:38:05 +0100 2010,19,13
7607124303,7651268820,Outgoing,32,Sat Sep 11 16:06:46 +0100 2010,12,52
7607124303,7651268820,Outgoing,40,Sat Sep 11 18:38:45 +0100 2010,20,43
7607124303,2327,Outgoing,7,Sun Sep 12 11:19:39 +0100 2010,15,52
7607124303,2327,Outgoing,6,Mon Sep 13 09:51:06 +0100 2010,10,2
7607124303,2327,Outgoing,11,Mon Sep 13 11:05:01 +0100 2010,13,81
7607124303,7651268820,Outgoing,31,Mon Sep 13 11:05:26 +0100 2010,2,75
7607124303,7651268820,Outgoing,17,Mon Sep 13 11:33:09 +0100 2010,21,30
7607124303,1499302899,Outgoing,0,Mon Sep 13 11:52:47 +0100 2010,15,85
7607124303,7854607195,Outgoing,0,Mon Sep 13 13:15:16 +0100 2010,14,6
7607124303,7854607195,Outgoing,13,Mon Sep 13 13:15:55 +0100 2010,22,69
7607124303,2327,Outgoing,0,Mon Sep 13 13:54:40 +0100 2010,25,58
7607124303,2327,Outgoing,24,Mon Sep 13 15:12:53 +0100 2010,5,32
7607124303,7651268820,Outgoing,0,Mon Sep 13 15:13:44 +0100 2010,10,9
7607124303,7651268820,Outgoing,0,Mon Sep 13 15:13:55 +0100 2010,26,54
7607124303,1499302899,Outgoing,0,Mon Sep 13 15:14:33 +0100 2010,5,99
7607124303,7651268820,Outgoing,13,Mon Sep 13 15:14:12 +0100 2010,22,12
7607124303,1499302899,Outgoing,0,Tue Sep 14 07:31:40 +0100 2010,12,29
7607124303,1499302899,Outgoing,0,Tue Sep 14 07:31:54 +0100 2010,9,54
7607124303,7651268820,Outgoing,1,Tue Sep 14 07:32:03 +0100 2010,25,47
7607124303,1499302899,Outgoing,0,Tue Sep 14 07:32:30 +0100 2010,22,86
7607124303,1499302899,Outgoing,21,Tue Sep 14 07:34:13 +0100 2010,9,87
7607124303,7080329376,Outgoing,0,Tue Sep 14 07:38:15 +0100 2010,13,0
7607124303,7080329376,Outgoing,0,Tue Sep 14 07:38:28 +0100 2010,26,10
7607124303,2327,Outgoing,8,Tue Sep 14 08:26:12 +0100 2010,5,55
7607124303,7167454533,Outgoing,2,Tue Sep 14 14:47:52 +0100 2010,7,47
7607124303,7167454533,Outgoing,2,Tue Sep 14 14:48:37 +0100 2010,19,17
7607124303,7162108686,Outgoing,1,Tue Sep 14 14:49:32 +0100 2010,16,59
7607124303,7167454533,Outgoing,0,Tue Sep 14 14:50:09 +0100 2010,26,48
7607124303,2327,Outgoing,7,Tue Sep 14 20:42:44 +0100 2010,22,45
7607124303,2327,Outgoing,7,Wed Sep 15 16:32:38 +0100 2010,22,28
7607124303,1499302899,Outgoing,43,Thu Sep 16 07:12:02 +0100 2010,20,9
7607124303,2327,Outgoing,7,Thu Sep 16 07:24:38 +0100 2010,15,13
7607124303,1499302899,Outgoing,16,Thu Sep 16 07:41:13 +0100 2010,20,6
7607124303,7167454533,Incoming,50,Thu Sep 16 14:08:36 +0100 2010,23,31
7607124303,7167454533,Outgoing,13,Thu Sep 16 14:26:45 +0100 2010,7,23
7110730864,452,Outgoing,37,Sat Sep 11 22:15:51 +0100 2010,25,60
7110730864,7209670163,Incoming,32,Sun Sep 12 11:56:55 +0100 2010,4,39
7110730864,7914559382,Outgoing,30,Mon Sep 13 15:45:05 +0100 2010,23,74
7110730864,7914559382,Outgoing,49,Mon Sep 13 15:45:45 +0100 2010,19,77
7110730864,452,Outgoing,28,Mon Sep 13 16:07:33 +0100 2010,24,79
7110730864,7209670163,Missed,0,Mon Sep 13 16:08:33 +0100 2010,7,79
7110730864,7541486388,Incoming,1,Tue Sep 14 15:42:04 +0100 2010,11,93
7110730864,452,Outgoing,43,Tue Sep 14 19:47:56 +0100 2010,13,17
7110730864,7209670163,Incoming,15,Wed Sep 15 07:10:15 +0100 2010,23,77
7110730864,452,Outgoing,13,Wed Sep 15 16:05:33 +0100 2010,16,47
7110730864,452,Outgoing,13,Thu Sep 16 06:05:29 +0100 2010,14,38
7110730864,452,Outgoing,10,Thu Sep 16 07:08:13 +0100 2010,6,36
7110730864,452,Outgoing,9,Thu Sep 16 14:02:37 +0100 2010,19,95
7110730864,452,Outgoing,0,Thu Sep 16 15:37:51 +0100 2010,20,21
7110730864,452,Outgoing,13,Thu Sep 16 15:38:07 +0100 2010,27,97
7110730864,452,Outgoing,9,Thu Sep 16 15:40:17 +0100 2010,15,11
7195393761,1780890590,Outgoing,0,Thu Sep 09 17:59:08 +0100 2010,11,40
7195393761,7978424233,Missed,0,Thu Sep 09 17:59:29 +0100 2010,23,46
7195393761,2432,Outgoing,111,Thu Sep 09 18:54:04 +0100 2010,7,1
7195393761,7978424233,Incoming,0,Thu Sep 09 20:02:44 +0100 2010,7,43
7946912731,7225912655,Outgoing,0,Mon Sep 13 14:14:32 +0100 2010,23,36
7946912731,7400578851,Incoming,138,Mon Sep 13 15:11:32 +0100 2010,23,32
7946912731,7225912655,Incoming,343,Mon Sep 13 15:40:42 +0100 2010,23,55
7946912731,7400578851,Missed,0,Mon Sep 13 21:03:04 +0100 2010,16,82
7946912731,7400578851,Missed,0,Mon Sep 13 21:03:33 +0100 2010,27,18
7946912731,7400578851,Outgoing,175,Mon Sep 13 21:18:44 +0100 2010,20,97
7946912731,1546219380,Outgoing,22,Mon Sep 13 22:58:17 +0100 2010,26,98
7946912731,7225912655,Outgoing,0,Mon Sep 13 23:08:46 +0100 2010,24,61
7946912731,7225912655,Incoming,41,Mon Sep 13 23:34:20 +0100 2010,11,12
7946912731,7225912655,Incoming,102,Mon Sep 13 23:41:42 +0100 2010,23,14
7946912731,7150470306,Outgoing,2,Tue Sep 14 10:31:07 +0100 2010,2,51
7946912731,7150470306,Outgoing,20,Tue Sep 14 10:31:44 +0100 2010,26,41
7946912731,7225912655,Outgoing,127,Tue Sep 14 10:35:47 +0100 2010,9,77
7946912731,7225912655,Incoming,0,Tue Sep 14 14:39:03 +0100 2010,4,95
7946912731,7225912655,Outgoing,318,Tue Sep 14 14:46:53 +0100 2010,10,88
7946912731,7225912655,Incoming,201,Tue Sep 14 15:03:44 +0100 2010,14,24
7946912731,7266516764,Incoming,65,Tue Sep 14 15:11:06 +0100 2010,6,9
